gen,nevals,avg,std,min,max,diversity
0,50,0.2411857495769965,0.004264644146291813,0.22306488341916894,0.24835241301570174,1.75580733953284
1,27,0.24341058060777848,0.003285014731059152,0.23493185569471858,0.24936021113460838,2.1305191720133494
2,26,0.24401681592232535,0.003412876632141001,0.2321844823864225,0.24936021113460838,2.249250945008515
3,33,0.24395947893561323,0.0041501486417968286,0.23446158734363365,0.25102403056029227,2.5166842988624345
4,36,0.24355687911768545,0.00419206785098418,0.23545980201697908,0.25105545218303943,2.820852025776745
5,29,0.24296434945114695,0.005994846553033922,0.22773962059615185,0.25105545218303943,2.790022504080186
6,37,0.24376668750290684,0.00417650801167143,0.23283040530497653,0.25105545218303943,2.7481877352890436
7,18,0.24538067131089683,0.00479634238444525,0.23330057593206827,0.25105545218303943,2.690590531573076
8,37,0.2447876312253795,0.004052688501411337,0.2332433536036362,0.25105545218303943,2.4348132043911126
9,31,0.24513583854580337,0.004362912782450908,0.2348908999442752,0.25105545218303943,2.841976312150095
10,21,0.24589695678718207,0.00524982070501193,0.23256457350944068,0.25105545218303943,2.464898850993201
11,31,0.24514767905984236,0.004867336812974706,0.2323546980870116,0.25105545218303943,2.3231410137159743
12,25,0.24586064059855942,0.0042683741534446425,0.23748844606620306,0.25105545218303943,2.2115494227718138
13,25,0.2457037668923191,0.005096450215370124,0.235328989552259,0.25105545218303943,2.253118755011476
14,25,0.2457833025823456,0.005524217985751816,0.2287696683790184,0.25105545218303943,2.3697673386145324
