scope,name,metric,mean,std,min,max
global,GHZ (3q),PCS,25.017259,19.193547,2.486623,170.456330
global,GHZ (3q),Fidelity,0.853176,0.175996,0.145318,1.000000
channel,pulse_channel_1,TDC,3.626677,3.044917,0.000000,28.493139
channel,pulse_channel_1,FDC,45.677773,36.405062,5.233833,348.910489
channel,pulse_channel_1,PCS,24.652225,19.660494,2.616916,187.355343
channel,pulse_channel_2,TDC,3.671407,3.143808,0.000000,32.245354
channel,pulse_channel_2,FDC,47.927691,37.269188,1.246244,332.525603
channel,pulse_channel_2,PCS,25.799549,20.149397,0.699061,182.385478
channel,pulse_channel_3,TDC,3.633902,2.990492,0.000000,30.524765
channel,pulse_channel_3,FDC,47.411562,37.124475,4.646687,365.155360
channel,pulse_channel_3,PCS,25.522732,19.993878,2.323344,197.840063
channel,pulse_channel_4,TDC,3.598310,2.914250,0.000000,25.438366
channel,pulse_channel_4,FDC,44.093143,31.084494,1.135062,257.447409
channel,pulse_channel_4,PCS,23.845726,16.923273,0.567531,141.442888
channel,pulse_channel_5,TDC,3.633083,2.978858,0.000000,27.242382
channel,pulse_channel_5,FDC,46.911161,36.299293,4.215799,376.033637
channel,pulse_channel_5,PCS,25.272122,19.588945,2.107900,201.638010
channel,pulse_channel_6,TDC,3.623300,2.937591,0.000000,26.043415
channel,pulse_channel_6,FDC,46.896559,35.659077,4.433710,291.126908
channel,pulse_channel_6,PCS,25.259930,19.242403,2.216855,157.347835
channel,pulse_channel_7,TDC,3.576309,2.961968,0.000000,26.078494
channel,pulse_channel_7,FDC,47.815168,39.277193,4.454851,361.207913
channel,pulse_channel_7,PCS,25.695738,21.078488,2.380086,193.643203
channel,pulse_channel_8,TDC,3.703295,3.114313,0.000000,28.235226
channel,pulse_channel_8,FDC,49.298759,43.236840,2.106052,411.750753
channel,pulse_channel_8,PCS,26.501027,23.117729,1.527893,218.069735
