scope,name,metric,mean,std,min,max
global,Teleportation pre-meas (3q),PCS,24.820953,16.213320,2.123762,106.636261
global,Teleportation pre-meas (3q),Fidelity,0.843164,0.194027,0.217157,1.000000
channel,pulse_channel_1,TDC,3.544879,2.470629,0.341041,16.302741
channel,pulse_channel_1,FDC,45.981263,30.734445,3.223423,211.603104
channel,pulse_channel_1,PCS,24.763071,16.550103,1.867824,113.675533
channel,pulse_channel_2,TDC,3.523381,2.423016,0.241166,15.982136
channel,pulse_channel_2,FDC,45.869961,30.529210,2.385210,215.437767
channel,pulse_channel_2,PCS,24.696671,16.409555,1.316891,114.902749
channel,pulse_channel_3,TDC,3.573762,2.562987,0.316572,18.643271
channel,pulse_channel_3,FDC,47.661782,34.422783,1.453425,259.768789
channel,pulse_channel_3,PCS,25.617772,18.451525,0.985545,139.206030
channel,pulse_channel_4,TDC,3.529933,2.463566,0.243633,19.777424
channel,pulse_channel_4,FDC,45.664916,30.626335,3.319152,233.211962
channel,pulse_channel_4,PCS,24.597424,16.479748,1.781392,126.494693
channel,pulse_channel_5,TDC,3.573335,2.490093,0.412448,18.576694
channel,pulse_channel_5,FDC,45.400810,28.215494,3.810681,180.473981
channel,pulse_channel_5,PCS,24.487072,15.292225,2.196665,99.525337
channel,pulse_channel_6,TDC,3.583468,2.544602,0.122569,17.155894
channel,pulse_channel_6,FDC,47.136892,31.462023,4.832714,215.035591
channel,pulse_channel_6,PCS,25.360180,16.961287,2.710372,115.688470
channel,pulse_channel_7,TDC,3.550212,2.425129,0.270179,17.604674
channel,pulse_channel_7,FDC,47.450921,33.527250,4.733875,240.867966
channel,pulse_channel_7,PCS,25.500566,17.919589,2.502027,127.493413
channel,pulse_channel_8,TDC,3.557085,2.490083,0.297240,16.353118
channel,pulse_channel_8,FDC,47.351211,31.776110,3.466036,234.744374
channel,pulse_channel_8,PCS,25.454148,17.084953,1.932174,124.334675
